 Total dimension =        38412
 n             i         j         k         Jab          Tab         Ttot
         36933        37         1         6         0         1         3
         36934        37         1         6         1         0         1
         36935        37         1         6         1         1         1
         36936        37         1         6         1         1         3
         36937        37         2         1         0         0         1
         36938        37         2         1         0         1         1
         36939        37         2         1         0         1         3
         36940        37         2         1         1         0         1
         36941        37         2         1         1         1         1
         36942        37         2         1         1         1         3
         36943        37         2         2         0         0         1
         36944        37         2         2         0         1         1
         36945        37         2         2         0         1         3
         36946        37         2         2         1         0         1
         36947        37         2         2         1         1         1
         36948        37         2         2         1         1         3
         36949        37         2         3         0         0         1
         36950        37         2         3         0         1         1
         36951        37         2         3         0         1         3
         36952        37         2         3         1         0         1
         36953        37         2         3         1         1         1
         36954        37         2         3         1         1         3
         36955        37         3         1         1         0         1
         36956        37         3         1         1         1         1
         36957        37         3         1         1         1         3
         36958        37         3         1         2         0         1
         36959        37         3         1         2         1         1
         36960        37         3         1         2         1         3
         36961        37         3         2         1         0         1
         36962        37         3         2         1         1         1
         36963        37         3         2         1         1         3
         36964        37         3         2         2         0         1
         36965        37         3         2         2         1         1
         36966        37         3         2         2         1         3
         36967        37         3         3         1         0         1
         36968        37         3         3         1         1         1
         36969        37         3         3         1         1         3
         36970        37         3         3         2         0         1
         36971        37         3         3         2         1         1
         36972        37         3         3         2         1         3
         36973        37         4         1         0         0         1
         36974        37         4         1         0         1         1
         36975        37         4         1         0         1         3
         36976        37         4         1         1         0         1
         36977        37         4         1         1         1         1
         36978        37         4         1         1         1         3
         36979        37         5         1         1         0         1
         36980        37         5         1         1         1         1
         36981        37         5         1         1         1         3
         36982        37         5         1         2         0         1
         36983        37         5         1         2         1         1
         36984        37         5         1         2         1         3
         36985        37         6         1         2         0         1
         36986        37         6         1         2         1         1
         36987        37         6         1         2         1         3
         36988        37         6         1         3         0         1
         36989        37         6         1         3         1         1
         36990        37         6         1         3         1         3
         36991        38         1         1         1         0         1
         36992        38         1         1         1         1         1
         36993        38         1         1         1         1         3
         36994        38         1         1         2         0         1
         36995        38         1         1         2         1         1
         36996        38         1         1         2         1         3
         36997        38         1         2         1         0         1
         36998        38         1         2         1         1         1
         36999        38         1         2         1         1         3
         37000        38         1         2         2         0         1
         37001        38         1         2         2         1         1
         37002        38         1         2         2         1         3
         37003        38         1         3         1         0         1
         37004        38         1         3         1         1         1
         37005        38         1         3         1         1         3
         37006        38         1         3         2         0         1
         37007        38         1         3         2         1         1
         37008        38         1         3         2         1         3
         37009        38         1         4         1         0         1
         37010        38         1         4         1         1         1
         37011        38         1         4         1         1         3
         37012        38         1         4         2         0         1
         37013        38         1         4         2         1         1
         37014        38         1         4         2         1         3
         37015        38         1         5         1         0         1
         37016        38         1         5         1         1         1
         37017        38         1         5         1         1         3
         37018        38         1         5         2         0         1
         37019        38         1         5         2         1         1
         37020        38         1         5         2         1         3
         37021        38         1         6         1         0         1
         37022        38         1         6         1         1         1
         37023        38         1         6         1         1         3
         37024        38         1         6         2         0         1
         37025        38         1         6         2         1         1
         37026        38         1         6         2         1         3
         37027        38         2         1         1         0         1
         37028        38         2         1         1         1         1
         37029        38         2         1         1         1         3
         37030        38         2         1         2         0         1
         37031        38         2         1         2         1         1
         37032        38         2         1         2         1         3
         37033        38         2         2         1         0         1
         37034        38         2         2         1         1         1
         37035        38         2         2         1         1         3
         37036        38         2         2         2         0         1
         37037        38         2         2         2         1         1
         37038        38         2         2         2         1         3
         37039        38         2         3         1         0         1
         37040        38         2         3         1         1         1
         37041        38         2         3         1         1         3
         37042        38         2         3         2         0         1
         37043        38         2         3         2         1         1
         37044        38         2         3         2         1         3
         37045        38         3         1         0         0         1
         37046        38         3         1         0         1         1
         37047        38         3         1         0         1         3
         37048        38         3         1         1         0         1
         37049        38         3         1         1         1         1
         37050        38         3         1         1         1         3
         37051        38         3         1         2         0         1
         37052        38         3         1         2         1         1
         37053        38         3         1         2         1         3
         37054        38         3         1         3         0         1
         37055        38         3         1         3         1         1
         37056        38         3         1         3         1         3
         37057        38         3         2         0         0         1
         37058        38         3         2         0         1         1
         37059        38         3         2         0         1         3
         37060        38         3         2         1         0         1
         37061        38         3         2         1         1         1
         37062        38         3         2         1         1         3
         37063        38         3         2         2         0         1
         37064        38         3         2         2         1         1
         37065        38         3         2         2         1         3
         37066        38         3         2         3         0         1
         37067        38         3         2         3         1         1
         37068        38         3         2         3         1         3
         37069        38         3         3         0         0         1
         37070        38         3         3         0         1         1
         37071        38         3         3         0         1         3
         37072        38         3         3         1         0         1
         37073        38         3         3         1         1         1
         37074        38         3         3         1         1         3
         37075        38         3         3         2         0         1
         37076        38         3         3         2         1         1
         37077        38         3         3         2         1         3
         37078        38         3         3         3         0         1
         37079        38         3         3         3         1         1
         37080        38         3         3         3         1         3
         37081        38         4         1         1         0         1
         37082        38         4         1         1         1         1
         37083        38         4         1         1         1         3
         37084        38         4         1         2         0         1
         37085        38         4         1         2         1         1
         37086        38         4         1         2         1         3
         37087        38         5         1         0         0         1
         37088        38         5         1         0         1         1
         37089        38         5         1         0         1         3
         37090        38         5         1         1         0         1
         37091        38         5         1         1         1         1
         37092        38         5         1         1         1         3
         37093        38         5         1         2         0         1
         37094        38         5         1         2         1         1
         37095        38         5         1         2         1         3
         37096        38         5         1         3         0         1
         37097        38         5         1         3         1         1
         37098        38         5         1         3         1         3
         37099        38         6         1         1         0         1
         37100        38         6         1         1         1         1
         37101        38         6         1         1         1         3
         37102        38         6         1         2         0         1
         37103        38         6         1         2         1         1
         37104        38         6         1         2         1         3
         37105        38         6         1         3         0         1
         37106        38         6         1         3         1         1
         37107        38         6         1         3         1         3
         37108        38         6         1         4         0         1
         37109        38         6         1         4         1         1
         37110        38         6         1         4         1         3
         37111        39         1         1         2         0         1
         37112        39         1         1         2         1         1
         37113        39         1         1         2         1         3
         37114        39         1         1         3         0         1
         37115        39         1         1         3         1         1
         37116        39         1         1         3         1         3
         37117        39         1         2         2         0         1
         37118        39         1         2         2         1         1
         37119        39         1         2         2         1         3
         37120        39         1         2         3         0         1
         37121        39         1         2         3         1         1
         37122        39         1         2         3         1         3
         37123        39         1         3         2         0         1
         37124        39         1         3         2         1         1
         37125        39         1         3         2         1         3
         37126        39         1         3         3         0         1
         37127        39         1         3         3         1         1
         37128        39         1         3         3         1         3
         37129        39         1         4         2         0         1
         37130        39         1         4         2         1         1
         37131        39         1         4         2         1         3
         37132        39         1         4         3         0         1
         37133        39         1         4         3         1         1
         37134        39         1         4         3         1         3
         37135        39         1         5         2         0         1
         37136        39         1         5         2         1         1
         37137        39         1         5         2         1         3
         37138        39         1         5         3         0         1
         37139        39         1         5         3         1         1
         37140        39         1         5         3         1         3
         37141        39         1         6         2         0         1
         37142        39         1         6         2         1         1
         37143        39         1         6         2         1         3
         37144        39         1         6         3         0         1
         37145        39         1         6         3         1         1
         37146        39         1         6         3         1         3
         37147        39         2         1         2         0         1
         37148        39         2         1         2         1         1
         37149        39         2         1         2         1         3
         37150        39         2         1         3         0         1
         37151        39         2         1         3         1         1
         37152        39         2         1         3         1         3
         37153        39         2         2         2         0         1
         37154        39         2         2         2         1         1
         37155        39         2         2         2         1         3
         37156        39         2         2         3         0         1
         37157        39         2         2         3         1         1
         37158        39         2         2         3         1         3
         37159        39         2         3         2         0         1
         37160        39         2         3         2         1         1
         37161        39         2         3         2         1         3
         37162        39         2         3         3         0         1
         37163        39         2         3         3         1         1
         37164        39         2         3         3         1         3
         37165        39         3         1         1         0         1
         37166        39         3         1         1         1         1
         37167        39         3         1         1         1         3
         37168        39         3         1         2         0         1
         37169        39         3         1         2         1         1
         37170        39         3         1         2         1         3
         37171        39         3         1         3         0         1
         37172        39         3         1         3         1         1
         37173        39         3         1         3         1         3
         37174        39         3         1         4         0         1
         37175        39         3         1         4         1         1
         37176        39         3         1         4         1         3
         37177        39         3         2         1         0         1
         37178        39         3         2         1         1         1
         37179        39         3         2         1         1         3
         37180        39         3         2         2         0         1
         37181        39         3         2         2         1         1
         37182        39         3         2         2         1         3
         37183        39         3         2         3         0         1
         37184        39         3         2         3         1         1
         37185        39         3         2         3         1         3
         37186        39         3         2         4         0         1
         37187        39         3         2         4         1         1
         37188        39         3         2         4         1         3
         37189        39         3         3         1         0         1
         37190        39         3         3         1         1         1
         37191        39         3         3         1         1         3
         37192        39         3         3         2         0         1
         37193        39         3         3         2         1         1
         37194        39         3         3         2         1         3
         37195        39         3         3         3         0         1
         37196        39         3         3         3         1         1
         37197        39         3         3         3         1         3
         37198        39         3         3         4         0         1
         37199        39         3         3         4         1         1
         37200        39         3         3         4         1         3
         37201        39         4         1         2         0         1
         37202        39         4         1         2         1         1
         37203        39         4         1         2         1         3
         37204        39         4         1         3         0         1
         37205        39         4         1         3         1         1
         37206        39         4         1         3         1         3
         37207        39         5         1         1         0         1
         37208        39         5         1         1         1         1
         37209        39         5         1         1         1         3
         37210        39         5         1         2         0         1
         37211        39         5         1         2         1         1
         37212        39         5         1         2         1         3
         37213        39         5         1         3         0         1
         37214        39         5         1         3         1         1
         37215        39         5         1         3         1         3
         37216        39         5         1         4         0         1
         37217        39         5         1         4         1         1
         37218        39         5         1         4         1         3
         37219        39         6         1         0         0         1
         37220        39         6         1         0         1         1
         37221        39         6         1         0         1         3
         37222        39         6         1         1         0         1
         37223        39         6         1         1         1         1
         37224        39         6         1         1         1         3
         37225        39         6         1         2         0         1
         37226        39         6         1         2         1         1
         37227        39         6         1         2         1         3
         37228        39         6         1         3         0         1
         37229        39         6         1         3         1         1
         37230        39         6         1         3         1         3
         37231        39         6         1         4         0         1
         37232        39         6         1         4         1         1
         37233        39         6         1         4         1         3
         37234        39         6         1         5         0         1
         37235        39         6         1         5         1         1
         37236        39         6         1         5         1         3
         37237        40         1         1         3         0         1
         37238        40         1         1         3         1         1
         37239        40         1         1         3         1         3
         37240        40         1         1         4         0         1
         37241        40         1         1         4         1         1
         37242        40         1         1         4         1         3
         37243        40         1         2         3         0         1
         37244        40         1         2         3         1         1
         37245        40         1         2         3         1         3
         37246        40         1         2         4         0         1
         37247        40         1         2         4         1         1
         37248        40         1         2         4         1         3
         37249        40         1         3         3         0         1
         37250        40         1         3         3         1         1
         37251        40         1         3         3         1         3
         37252        40         1         3         4         0         1
         37253        40         1         3         4         1         1
         37254        40         1         3         4         1         3
         37255        40         1         4         3         0         1
         37256        40         1         4         3         1         1
         37257        40         1         4         3         1         3
         37258        40         1         4         4         0         1
         37259        40         1         4         4         1         1
         37260        40         1         4         4         1         3
         37261        40         1         5         3         0         1
         37262        40         1         5         3         1         1
         37263        40         1         5         3         1         3
         37264        40         1         5         4         0         1
         37265        40         1         5         4         1         1
         37266        40         1         5         4         1         3
         37267        40         1         6         3         0         1
         37268        40         1         6         3         1         1
         37269        40         1         6         3         1         3
         37270        40         1         6         4         0         1
         37271        40         1         6         4         1         1
         37272        40         1         6         4         1         3
         37273        40         2         1         3         0         1
         37274        40         2         1         3         1         1
         37275        40         2         1         3         1         3
         37276        40         2         1         4         0         1
         37277        40         2         1         4         1         1
         37278        40         2         1         4         1         3
         37279        40         2         2         3         0         1
         37280        40         2         2         3         1         1
         37281        40         2         2         3         1         3
         37282        40         2         2         4         0         1
         37283        40         2         2         4         1         1
         37284        40         2         2         4         1         3
         37285        40         2         3         3         0         1
         37286        40         2         3         3         1         1
         37287        40         2         3         3         1         3
         37288        40         2         3         4         0         1
         37289        40         2         3         4         1         1
         37290        40         2         3         4         1         3
         37291        40         3         1         2         0         1
         37292        40         3         1         2         1         1
         37293        40         3         1         2         1         3
         37294        40         3         1         3         0         1
         37295        40         3         1         3         1         1
         37296        40         3         1         3         1         3
         37297        40         3         1         4         0         1
         37298        40         3         1         4         1         1
         37299        40         3         1         4         1         3
         37300        40         3         1         5         0         1
         37301        40         3         1         5         1         1
         37302        40         3         1         5         1         3
         37303        40         3         2         2         0         1
         37304        40         3         2         2         1         1
         37305        40         3         2         2         1         3
         37306        40         3         2         3         0         1
         37307        40         3         2         3         1         1
         37308        40         3         2         3         1         3
         37309        40         3         2         4         0         1
         37310        40         3         2         4         1         1
         37311        40         3         2         4         1         3
         37312        40         3         2         5         0         1
         37313        40         3         2         5         1         1
         37314        40         3         2         5         1         3
         37315        40         3         3         2         0         1
         37316        40         3         3         2         1         1
         37317        40         3         3         2         1         3
         37318        40         3         3         3         0         1
         37319        40         3         3         3         1         1
         37320        40         3         3         3         1         3
         37321        40         3         3         4         0         1
         37322        40         3         3         4         1         1
         37323        40         3         3         4         1         3
         37324        40         3         3         5         0         1
         37325        40         3         3         5         1         1
         37326        40         3         3         5         1         3
         37327        40         4         1         3         0         1
         37328        40         4         1         3         1         1
         37329        40         4         1         3         1         3
         37330        40         4         1         4         0         1
         37331        40         4         1         4         1         1
         37332        40         4         1         4         1         3
         37333        40         5         1         2         0         1
         37334        40         5         1         2         1         1
         37335        40         5         1         2         1         3
         37336        40         5         1         3         0         1
         37337        40         5         1         3         1         1
         37338        40         5         1         3         1         3
         37339        40         5         1         4         0         1
         37340        40         5         1         4         1         1
         37341        40         5         1         4         1         3
         37342        40         5         1         5         0         1
         37343        40         5         1         5         1         1
         37344        40         5         1         5         1         3
         37345        40         6         1         1         0         1
         37346        40         6         1         1         1         1
         37347        40         6         1         1         1         3
         37348        40         6         1         2         0         1
         37349        40         6         1         2         1         1
         37350        40         6         1         2         1         3
         37351        40         6         1         3         0         1
         37352        40         6         1         3         1         1
         37353        40         6         1         3         1         3
         37354        40         6         1         4         0         1
         37355        40         6         1         4         1         1
         37356        40         6         1         4         1         3
         37357        40         6         1         5         0         1
         37358        40         6         1         5         1         1
         37359        40         6         1         5         1         3
         37360        40         6         1         6         0         1
         37361        40         6         1         6         1         1
         37362        40         6         1         6         1         3
         37363        41         1         1         4         0         1
         37364        41         1         1         4         1         1
         37365        41         1         1         4         1         3
         37366        41         1         1         5         0         1
         37367        41         1         1         5         1         1
         37368        41         1         1         5         1         3
         37369        41         1         2         4         0         1
         37370        41         1         2         4         1         1
         37371        41         1         2         4         1         3
         37372        41         1         2         5         0         1
         37373        41         1         2         5         1         1
         37374        41         1         2         5         1         3
         37375        41         1         3         4         0         1
         37376        41         1         3         4         1         1
         37377        41         1         3         4         1         3
         37378        41         1         3         5         0         1
         37379        41         1         3         5         1         1
         37380        41         1         3         5         1         3
         37381        41         1         4         4         0         1
         37382        41         1         4         4         1         1
         37383        41         1         4         4         1         3
         37384        41         1         4         5         0         1
         37385        41         1         4         5         1         1
         37386        41         1         4         5         1         3
         37387        41         1         5         4         0         1
         37388        41         1         5         4         1         1
         37389        41         1         5         4         1         3
         37390        41         1         5         5         0         1
         37391        41         1         5         5         1         1
         37392        41         1         5         5         1         3
         37393        41         1         6         4         0         1
         37394        41         1         6         4         1         1
         37395        41         1         6         4         1         3
         37396        41         1         6         5         0         1
         37397        41         1         6         5         1         1
         37398        41         1         6         5         1         3
         37399        41         2         1         4         0         1
         37400        41         2         1         4         1         1
         37401        41         2         1         4         1         3
         37402        41         2         1         5         0         1
         37403        41         2         1         5         1         1
         37404        41         2         1         5         1         3
         37405        41         2         2         4         0         1
         37406        41         2         2         4         1         1
         37407        41         2         2         4         1         3
         37408        41         2         2         5         0         1
         37409        41         2         2         5         1         1
         37410        41         2         2         5         1         3
         37411        41         2         3         4         0         1
         37412        41         2         3         4         1         1
         37413        41         2         3         4         1         3
         37414        41         2         3         5         0         1
         37415        41         2         3         5         1         1
         37416        41         2         3         5         1         3
         37417        41         3         1         3         0         1
         37418        41         3         1         3         1         1
         37419        41         3         1         3         1         3
         37420        41         3         1         4         0         1
         37421        41         3         1         4         1         1
         37422        41         3         1         4         1         3
         37423        41         3         1         5         0         1
         37424        41         3         1         5         1         1
         37425        41         3         1         5         1         3
         37426        41         3         1         6         0         1
         37427        41         3         1         6         1         1
         37428        41         3         1         6         1         3
         37429        41         3         2         3         0         1
         37430        41         3         2         3         1         1
         37431        41         3         2         3         1         3
         37432        41         3         2         4         0         1
         37433        41         3         2         4         1         1
         37434        41         3         2         4         1         3
         37435        41         3         2         5         0         1
         37436        41         3         2         5         1         1
         37437        41         3         2         5         1         3
         37438        41         3         2         6         0         1
         37439        41         3         2         6         1         1
         37440        41         3         2         6         1         3
         37441        41         3         3         3         0         1
         37442        41         3         3         3         1         1
         37443        41         3         3         3         1         3
         37444        41         3         3         4         0         1
         37445        41         3         3         4         1         1
         37446        41         3         3         4         1         3
         37447        41         3         3         5         0         1
         37448        41         3         3         5         1         1
         37449        41         3         3         5         1         3
         37450        41         3         3         6         0         1
         37451        41         3         3         6         1         1
         37452        41         3         3         6         1         3
         37453        41         4         1         4         0         1
         37454        41         4         1         4         1         1
         37455        41         4         1         4         1         3
         37456        41         4         1         5         0         1
         37457        41         4         1         5         1         1
         37458        41         4         1         5         1         3
         37459        41         5         1         3         0         1
         37460        41         5         1         3         1         1
         37461        41         5         1         3         1         3
         37462        41         5         1         4         0         1
         37463        41         5         1         4         1         1
         37464        41         5         1         4         1         3
         37465        41         5         1         5         0         1
         37466        41         5         1         5         1         1
         37467        41         5         1         5         1         3
         37468        41         5         1         6         0         1
         37469        41         5         1         6         1         1
         37470        41         5         1         6         1         3
         37471        41         6         1         2         0         1
         37472        41         6         1         2         1         1
         37473        41         6         1         2         1         3
         37474        41         6         1         3         0         1
         37475        41         6         1         3         1         1
         37476        41         6         1         3         1         3
         37477        41         6         1         4         0         1
         37478        41         6         1         4         1         1
         37479        41         6         1         4         1         3
         37480        41         6         1         5         0         1
         37481        41         6         1         5         1         1
         37482        41         6         1         5         1         3
         37483        41         6         1         6         0         1
         37484        41         6         1         6         1         1
         37485        41         6         1         6         1         3
         37486        41         6         1         7         0         1
         37487        41         6         1         7         1         1
         37488        41         6         1         7         1         3
         37489        42         1         1         5         0         1
         37490        42         1         1         5         1         1
         37491        42         1         1         5         1         3
         37492        42         1         1         6         0         1
         37493        42         1         1         6         1         1
         37494        42         1         1         6         1         3
         37495        42         1         2         5         0         1
         37496        42         1         2         5         1         1
         37497        42         1         2         5         1         3
         37498        42         1         2         6         0         1
         37499        42         1         2         6         1         1
         37500        42         1         2         6         1         3
         37501        42         1         3         5         0         1
         37502        42         1         3         5         1         1
         37503        42         1         3         5         1         3
         37504        42         1         3         6         0         1
         37505        42         1         3         6         1         1
         37506        42         1         3         6         1         3
         37507        42         1         4         5         0         1
         37508        42         1         4         5         1         1
         37509        42         1         4         5         1         3
         37510        42         1         4         6         0         1
         37511        42         1         4         6         1         1
         37512        42         1         4         6         1         3
         37513        42         1         5         5         0         1
         37514        42         1         5         5         1         1
         37515        42         1         5         5         1         3
         37516        42         1         5         6         0         1
         37517        42         1         5         6         1         1
         37518        42         1         5         6         1         3
         37519        42         1         6         5         0         1
         37520        42         1         6         5         1         1
         37521        42         1         6         5         1         3
         37522        42         1         6         6         0         1
         37523        42         1         6         6         1         1
         37524        42         1         6         6         1         3
         37525        42         2         1         5         0         1
         37526        42         2         1         5         1         1
         37527        42         2         1         5         1         3
         37528        42         2         1         6         0         1
         37529        42         2         1         6         1         1
         37530        42         2         1         6         1         3
         37531        42         2         2         5         0         1
         37532        42         2         2         5         1         1
